,identifier,author_all,title,year,journal,nSyllabi,nCites,category
35,andor2016framing,"Andor, Jozsef",Framing the issues: An interview with George Lakoff,2016,Argumentum,1,0,
36,andrews2013prior,"Andrews, Mark; Baguley, Thom",Prior approval: The growth of Bayesian methods in psychology,2013,British Journal of Mathematical and Statistical Psychology,1,37,
37,angrist2008mostly,"Angrist, Joshua D.; Pischke, Jorn-Steffen",Mostly harmless econometrics: An empiricist's companion,2008,,4,9723,8
38,angrist2014mastering,"Angrist, Joshua D.; Pischke, Jorn-Steffen",Mastering'metrics: The path from cause to effect,2014,,1,217,
39,ansolabehere2003there,"Ansolabehere, Stephen; De Figueiredo, John M.; Snyder Jr, James M.",Why is there so little money in US politics?,2003,Journal of Economic perspectives,1,1162,
40,aral2009distinguishing,"Aral, Sinan; Muchnik, Lev; Sundararajan, Arun",Distinguishing influence-based contagion from homophily-driven diffusion in dynamic networks,2009,Proceedings of the National Academy of Sciences,1,991,
41,armstrong2001principles,"Armstrong, Jon Scott",Principles of forecasting: a handbook for researchers and practitioners,2001,,1,1561,
42,armstrong2014analyzing,"Armstrong, David A.; Bakker, Ryan; Carroll, Royce; Hare, Christopher; Poole, Keith T.; Rosenthal, Howard; others",Analyzing spatial models of choice and judgment with R,2014,,1,44,
43,arunachalam2016height,"Arunachalam, Raj; Watson, Sara","Height, Income and Voting",2016,British Journal of Political Science,1,1,
44,athey2017state,"Athey, Susan; Imbens, Guido W.",The state of applied econometrics: Causality and policy evaluation,2017,Journal of Economic Perspectives,1,89,
45,attride2001thematic,"Attride-Stirling, Jennifer",Thematic networks: an analytic tool for qualitative research,2001,Qualitative research,1,2992,
46,azar1972problem,"Azar, Edward E.; Cohen, Stanley H.; Jukam, Thomas O.; McCormick, James M.",The problem of source coverage in the use of international events data,1972,International Studies Quarterly,1,76,
47,azar1980conflict,"Azar, Edward E.",The conflict and peace data bank (COPDAB) project,1980,Journal of Conflict Resolution,1,469,
48,azar2009conflict,"Azar, Edward E.","Conflict and Peace Data Bank (COPDAB), 1948-1978. ICPSR07767-v4",2009,"Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor]",1,4,
49,baddeley2008analysing,"Baddeley, Adrian; others",Analysing spatial point patterns in R,2008,,1,257,
50,baerg2016textual,"Baerg, Nicole Rae; Lowe, Will",A Textual Taylor Rule: Estimating Central Bank Preferences Combining Topic and Scaling Methods,2016,,1,1,
51,bafumi2005practical,"Bafumi, Joseph; Gelman, Andrew; Park, David K.; Kaplan, Noah",Practical issues in implementing and understanding Bayesian ideal point estimation,2005,Political Analysis,1,186,
52,bagozzi2016politics,"Bagozzi, Benjamin E.; Berliner, Daniel",The politics of scrutiny in human rights monitoring: evidence from structural topic models of US State Department human rights reports,2016,Political Science Research and Methods,1,6,
53,bagrow2011collective,"Bagrow, James P.; Wang, Dashun; Barabasi, Albert-Laszlo",Collective response of human populations to large-scale emergencies,2011,PloS one,1,192,
54,bail2012fringe,"Bail, Christopher A.",The fringe effect: Civil society organizations and the evolution of media discourse about Islam since the September 11th attacks,2012,American Sociological Review,1,135,
55,bail2015taming,"Bail, Christopher A.",Taming Big Data: Using App Technology to Study Organizational Behavior on Social Media,2015,Sociological Methods \& Research,1,8,
56,bail2016combining,"Bail, Christopher Andrew",Combining natural language processing and network analysis to examine how advocacy organizations stimulate conversation on social media,2016,Proceedings of the National Academy of Sciences,1,10,
57,bailey2008does,"Bailey, Andrew; Schonhardt-Bailey, Cheryl",Does deliberation matter in FOMC monetary policymaking? The Volcker Revolution of 1979,2008,Political Analysis,1,38,
58,bailey2017estimating,"Bailey, Michael A.; Strezhnev, Anton; Voeten, Erik",Estimating dynamic state preferences from United Nations voting data,2017,Journal of Conflict Resolution,1,163,
59,baker2016measuring,"Baker, Scott R.; Bloom, Nicholas; Davis, Steven J.",Measuring economic policy uncertainty,2016,The Quarterly Journal of Economics,1,1744,
60,bakliwal2013sentiment,"Bakliwal, Akshat; Foster, Jennifer; van der Puil, Jennifer; O'Brien, Ron; Tounsi, Lamia; Hughes, Mark",Sentiment analysis of political tweets: Towards an accurate classifier,2013,,1,74,
61,bakshy2012social,"Bakshy, Eytan; Eckles, Dean; Yan, Rong; Rosenn, Itamar",Social influence in social advertising: evidence from field experiments,2012,,2,176,
62,bakshy2014designing,"Bakshy, Eytan; Eckles, Dean; Bernstein, Michael S.",Designing and deploying online field experiments,2014,,1,63,
63,ballarino2005civicness,"Ballarino, Gabriele; Schadee, Hans","Civicness and economic performance. A longitudinal analysis of Italian provinces, 1980--2000",2005,European Sociological Review,1,22,
64,ban2018newspapers,"Ban, Pamela; Fouirnaies, Alexander; Hall, Andrew B.; Snyder, James M.",How Newspapers Reveal Political Power,2018,Political Science Research and Methods,1,2,
65,banerjee1999beyond,"Banerjee, Mousumi; Capozzoli, Michelle; McSweeney, Laura; Sinha, Debajyoti",Beyond kappa: A review of interrater agreement measures,1999,Canadian journal of statistics,1,778,
66,bara2007analysing,"Bara, Judith; Weale, Albert; Bicquelet, Aude",Analysing parliamentary debate with computer assistance,2007,Swiss Political Science Review,1,67,
67,barabasi2016network,"Barabasi, Albert-Laszlo",Network science,2016,,2,99,
68,barbera2014birds,"Barbera, Pablo",Birds of the same feather tweet together: Bayesian ideal point estimation using Twitter data,2014,Political Analysis,9,290,6
69,barbera2015critical,"Barbera, Pablo; Wang, Ning; Bonneau, Richard; Jost, John T.; Nagler, Jonathan; Tucker, Joshua; Gonzalez-Bailon, Sandra",The critical periphery in the growth of social protests,2015,PloS one,1,73,
70,barbera2015tweeting,"Barbera, Pablo; Jost, John T.; Nagler, Jonathan; Tucker, Joshua A.; Bonneau, Richard",Tweeting from left to right: Is online political communication more than an echo chamber?,2015,Psychological science,3,171,6
71,barbera2015understanding,"Barbera, Pablo; Rivero, Gonzalo",Understanding the political representativeness of Twitter users,2015,Social Science Computer Review,2,80,
72,barbera2016less,"Barbera, Pablo",Less is more? How demographic sample weights can improve public opinion estimates based on Twitter data,2016,,1,9,
73,barkin2017interpretive,"Barkin, J. S.; Sjoberg, Laura",Interpretive Quantification: Methodological Explorations for Critical and Constructivist IR,2017,,1,4,
74,baroni2014don,"Baroni, Marco; Dinu, Georgiana; Kruszewski, German","Don't count, predict! A systematic comparison of context-counting vs. context-predicting semantic vectors",2014,,1,664,
75,bartholomew2011latent,"Bartholomew, David J.; Knott, Martin; Moustaki, Irini",Latent variable models and factor analysis: A unified approach,2011,,2,443,
76,bas2007statistical,"Bas, Muhammet Ali; Signorino, Curtis S.; Walker, Robert W.",Statistical backwards induction: A simple method for estimating recursive strategic models,2007,Political Analysis,1,78,
77,bauer2000qualitative,"Bauer, Martin W.; Gaskell, George","Qualitative researching with text, image and sound: A practical handbook for social research",2000,,1,1032,
78,baumgartner2010decline,"Baumgartner, Frank R.; Linn, Suzanna; Boydstun, Amber E.",The decline of the death penalty: How media framing changed capital punishment in America,2010,Winning with words: The origins and impact of political framing,1,18,
79,beach2013process,"Beach, Derek; Pedersen, Rasmus Brun",Process-tracing methods: Foundations and guidelines,2013,,1,737,
80,beauchamp2011using,"Beauchamp, Nick",Using text to scale legislatures with uninformative voting,2011,New York University Mimeo,5,23,4
81,beauchamp2017predicting,"Beauchamp, Nicholas",Predicting and interpolating state-level polls using Twitter textual data,2017,American Journal of Political Science,3,42,4
82,beck2000improving,"Beck, Nathaniel; King, Gary; Zeng, Langche",Improving quantitative studies of international conflict: A conjecture,2000,American Political Science Review,1,319,
83,beck2011modeling,"Beck, Nathaniel; Katz, Jonathan N.",Modeling dynamics in time-series--cross-section political economy data,2011,Annual Review of Political Science,1,484,
84,becker2008tricks,"Becker, Howard S.",Tricks of the trade: How to think about your research while you're doing it,2008,,1,2296,
85,becker2016clause,"Becker, Maria; Palmer, Alexis; Frank, Anette",Clause types and modality in argumentative microtexts,2016,,1,7,
86,beieler2016generating,"Beieler, John; Brandt, Patrick T.; Halterman, Andrew; Schrodt, Philip A.; Simpson, Erin M.",Generating political event data in near real time,2016,Computational Social Science,1,8,
87,beil2002frequent,"Beil, Florian; Ester, Martin; Xu, Xiaowei",Frequent term-based text clustering,2002,,2,644,
88,bellegarda2005latent,"Bellegarda, Jerome R.",Latent semantic mapping [information retrieval],2005,IEEE signal processing magazine,1,164,
89,belloni2014high,"Belloni, Alexandre; Chernozhukov, Victor; Hansen, Christian",High-dimensional methods and inference on structural and treatment effects,2014,Journal of Economic Perspectives,2,115,
90,ben2016does,"Ben-David, Anat",What does the Web remember of its deleted past? An archival reconstruction of the former Yugoslav top-level domain,2016,New Media \& Society,1,12,
91,bengtsson2011improved,"Bengtsson, Linus; Lu, Xin; Thorson, Anna; Garfield, Richard; Von Schreeb, Johan",Improved response to disasters and outbreaks by tracking population movements with mobile phone network data: a post-earthquake geospatial study in Haiti,2011,PLoS medicine,1,296,
92,benoit2003estimating,"Benoit, Kenneth; Laver, Michael",Estimating Irish party policy positions using computer wordscoring: The 2002 election--a research note,2003,Irish Political Studies,2,95,
93,benoit2007compared,"Benoit, Kenneth; Laver, Michael",Compared to what? A comment on a robust transformation procedure for interpreting political text ,2007,Political Analysis,3,128,4
94,benoit2007estimating,"Benoit, Kenneth; Laver, Michael",Estimating party policy positions: Comparing expert surveys and hand-coded content analysis,2007,Electoral Studies,1,300,
95,benoit2009treating,"Benoit, Kenneth; Laver, Michael; Mikhaylov, Slava",Treating words as data with error: Uncertainty in text statements of policy positions,2009,American Journal of Political Science,2,302,
96,benoit2013classification,"Benoit, Kenneth; Nulty, Paul",Classification methods for scaling latent political traits,2013,,1,7,
97,benoit2015crowd,"Benoit, Kenneth; Conway, Drew; Lauderdale, Benjamin E.; Laver, Michael; Mikhaylov, Slava",Crowd-sourced text analysis: reproducible and agile production of political data,2015,,3,55,2
98,benoit2015text,"Benoit, Kenneth; Herzog, Alexander",Text analysis: Estimating policy preferences from written and spoken words,2015,"Analytics, Policy and Governance, forthcoming",1,5,
99,benoit2016quanteda,"Benoit, Kenneth; Nulty, Paul",quanteda: Quantitative analysis of textual data,2016,R package version 0.9,2,38,
100,berinsky2012evaluating,"Berinsky, Adam J.; Huber, Gregory A.; Lenz, Gabriel S.",Evaluating online labor markets for experimental research: Amazon. com's Mechanical Turk,2012,Political Analysis,4,1843,2
101,berk1995reply,"Berk, Richard A.; Western, Bruce; Weiss, Robert E.","Reply to Bollen, Firebaugh, and Rubin",1995,Sociological Methodology,1,14,
102,berk1995statistical,"Berk, Richard A.; Western, Bruce; Weiss, Robert E.",Statistical inference for apparent populations,1995,Sociological methodology,1,148,
103,berkman2011defeating,"Berkman, Michael B.; Plutzer, Eric","Defeating creationism in the courtroom, but not in the classroom",2011,Science,1,143,
104,bernauer2012new,"Bernauer, Thomas; Gleditsch, Nils Petter",New event data in conflict research,2012,,1,7,
105,bertrand2004much,"Bertrand, Marianne; Duflo, Esther; Mullainathan, Sendhil",How much should we trust differences-in-differences estimates?,2004,The Quarterly journal of economics,1,7150,
106,best2013analysis,"Best, Rebecca H.; Carpino, Christine; Crescenzi, Mark J. C.",An analysis of the TABARI coding system,2013,Conflict Management and Peace Science,1,12,
107,bicquelet2011coping,"Bicquelet, Aude; Weale, Albert",Coping with the cornucopia: can text mining help handle the data deluge in public policy analysis?,2011,Policy \& Internet,1,10,
108,bicquelet2012different,"Bicquelet, Aude; Weale, Albert; Bara, Judith",In a different parliamentary voice?,2012,Politics \& Gender,1,9,
109,billig2013learn,"Billig, Michael",Learn to write badly: How to succeed in the social sciences,2013,,1,208,
110,bird2009natural,"Bird, Steven; Klein, Ewan; Loper, Edward",Natural language processing with Python: analyzing text with the natural language toolkit,2009,,4,2776,10
111,bisbee2017testing,"Bisbee, James; Larson, Jennifer M.",Testing Social Science Network Theories with Online Network Data: An Evaluation of External Validity,2017,American Political Science Review,1,3,
112,bishop2006machine,"Bishop, Christopher M.",Machine learning and pattern recognition,2006,"Information Science and Statistics. Springer, Heidelberg",2,29710,
113,bishop2006periodic,"Bishop, Christopher M.",Periodic Variables,2006,Pattern recognition and machine learning,1,276,
114,bivand2008applied,"Bivand, Roger S.; Pebesma, Edzer J.; Gomez-Rubio, Virgilio; Pebesma, Edzer Jan",Applied spatial data analysis with R,2008,,1,1853,
115,bivand2008interpolation,"Bivand, Roger S.; Pebesma, Edzer J.; Gomez-Rubio, Virgilio",Interpolation and geostatistics,2008,Applied spatial data analysis with R,1,27,
116,black2011emotions,"Black, Ryan C.; Treul, Sarah A.; Johnson, Timothy R.; Goldman, Jerry","Emotions, oral arguments, and Supreme Court decision making",2011,The Journal of Politics,1,44,
117,blackwell2013framework,"Blackwell, Matthew",A framework for dynamic causal inference in political science,2013,American Journal of Political Science,1,49,
118,blaikie2009designing,"Blaikie, Norman",Designing social research,2009,,1,3328,
119,blaxill2016feminized,"Blaxill, Luke; Beelen, Kaspar",,2016,Twentieth Century British History,1,2,
120,blaydes2013mirrors,"Blaydes, Lisa; Grimmer, Justin; McQueen, Alison",Mirrors for princes and sultans: advice on the art of governance in the medieval Christian and Islamic worlds,2013,,2,5,
121,blaydes2013political,"Blaydes, Lisa; Grimmer, Justin",Political Cultures: Exploring the Long-Run Determinants of Values Transmission,2013,,1,5,
122,blei2003latent,"Blei, David M.; Ng, Andrew Y.; Jordan, Michael I.",Latent dirichlet allocation,2003,Journal of machine Learning research,15,22300,7
123,blei2005correlated,"Blei, David M.; Lafferty, John D.",Correlated topic models,2005,,1,695,
124,blei2006dynamic,"Blei, David M.; Lafferty, John D.",Dynamic topic models,2006,,1,1788,
125,blei2006variational,"Blei, David M.; Jordan, Michael I.; others",Variational inference for Dirichlet process mixtures,2006,Bayesian analysis,1,928,
126,blei2007correlated,"Blei, David M.; Lafferty, John D.",A correlated topic model of science,2007,The Annals of Applied Statistics,2,842,
127,blei2012probabilistic,"Blei, David M.",Probabilistic topic models,2012,Communications of the ACM,15,2309,7
128,blei2014build,"Blei, David M.","Build, compute, critique, repeat: Data analysis with latent variable models",2014,Annual Review of Statistics and Its Application,3,66,8
129,bligh2004charting,"Bligh, Michelle C.; Kohles, Jeffrey C.; Meindl, James R.",Charting the language of leadership: A methodological investigation of President Bush and the crisis of 9/11.,2004,Journal of Applied Psychology,1,173,
130,bloniarz2016lasso,"Bloniarz, Adam; Liu, Hanzhong; Zhang, Cun-Hui; Sekhon, Jasjeet S.; Yu, Bin",Lasso adjustments of treatment effect estimates in randomized experiments,2016,Proceedings of the National Academy of Sciences,1,26,
131,blumenstock2014calling,"Blumenstock, J.",Calling for better measurement: Estimating an individual's wealth and well-being,2014,ACM KDD (Data Mining for Social Good),1,4,
132,bolker2008ecological,"Bolker, Benjamin M.",Ecological models and data in R,2008,,1,1316,
133,bollen1980issues,"Bollen, Kenneth A.",Issues in the comparative measurement of political democracy,1980,American Sociological Review,1,881,
134,bollen1989structural,"Bollen, Kenneth A.",Structural equations with latent variablesWiley,1989,New York,1,1902,
135,bollen1990political,"Bollen, Kenneth A.",Political democracy: Conceptual and measurement traps,1990,Studies in Comparative International Development,1,598,
136,bollen1991conventional,"Bollen, Kenneth; Lennox, Richard",Conventional wisdom on measurement: A structural equation perspective.,1991,Psychological bulletin,1,3738,
137,bollen1995apparent,"Bollen, Kenneth A.",Apparent and nonapparent significance tests,1995,Sociological Methodology,1,54,
138,bollen1998detection,"Bollen, Kenneth A.; Paxton, Pamela",Detection and determinants of bias in subjective measures,1998,American Sociological Review,1,147,
139,bollen2000subjective,"Bollen, Kenneth A.; Paxton, Pamela",Subjective measures of liberal democracy,2000,Comparative Political Studies,1,416,
140,bollen2011modeling,"Bollen, Johan; Mao, Huina; Pepe, Alberto",Modeling public mood and emotion: Twitter sentiment and socio-economic phenomena.,2011,Icwsm,1,873,
141,bollen2011twitter,"Bollen, Johan; Mao, Huina; Zeng, Xiaojun",Twitter mood predicts the stock market,2011,Journal of computational science,1,3136,
142,bond2003integrated,"Bond, Doug; Bond, Joe; Oh, Churl; Jenkins, J.  Craig; Taylor, Charles Lewis",Integrated data for events analysis (IDEA): An event typology for automated events data development,2003,Journal of Peace Research,2,251,
143,bond201261,"Bond, Robert M.; Fariss, Christopher J.; Jones, Jason J.; Kramer, Adam D. I.; Marlow, Cameron; Settle, Jaime E.; Fowler, James H.",A 61-million-person experiment in social influence and political mobilization,2012,Nature,1,1296,
144,bond2015quantifying,"Bond, Robert; Messing, Solomon",Quantifying social media's political space: Estimating ideology from publicly revealed preferences on Facebook,2015,American Political Science Review,3,76,4
145,bonica2013ideology,"Bonica, Adam",Ideology and interests in the political marketplace,2013,American Journal of Political Science,1,212,
146,bonica2014mapping,"Bonica, Adam",Mapping the ideological marketplace,2014,American Journal of Political Science,2,278,
147,bonica2016data,"Bonica, Adam",A Data-Driven Voter Guide for US Elections: Adapting quantitative measures of the preferences and priorities of political elites to help voters learn about candidates,2016,RSF,1,5,
148,bonica2017inferring,"Bonica, Adam",Inferring roll call scores from campaign contributions using supervised machine learning,2017,,1,7,
149,borg2005modern,"Borg, Ingwer; Groenen, Patrick J. F.",Modern multidimensional scaling: Theory and applications,2005,,1,5490,
150,borgatti2009network,"Borgatti, Stephen P.; Mehra, Ajay; Brass, Daniel J.; Labianca, Giuseppe",Network analysis in the social sciences,2009,science,1,2387,
151,borgatti2011analyzing,"Borgatti, Stephen P.; Halgin, Daniel S.",Analyzing affiliation networks,2011,The Sage handbook of social network analysis,1,214,
152,borgatti2018analyzing,"Borgatti, Stephen P.; Everett, Martin G.; Johnson, Jeffrey C.",Analyzing social networks,2018,,1,1189,
153,borsboom2005measuring,"Borsboom, Denny",Measuring the mind: Conceptual issues in contemporary psychometrics,2005,,1,463,
154,borsboom2013practise,"Borsboom, Denny; Haig, Brian D.",How to practise Bayesian statistics outside the Bayesian church: What philosophy for Bayesian statistical modelling?,2013,British Journal of Mathematical and Statistical Psychology,1,4,
155,bound1995problems,"Bound, John; Jaeger, David A.; Baker, Regina M.",Problems with instrumental variables estimation when the correlation between the instruments and the endogenous explanatory variable is weak,1995,Journal of the American statistical association,1,3860,
156,box2004event,"Box-Steffensmeier, Janet M.; Jones, Bradford S.",Event history modeling: A guide for social scientists,2004,,1,2016,
157,box2008oxford,"Box-Steffensmeier, Janet M.; Brady, Henry E.; Collier, David",The Oxford handbook of political methodology,2008,,3,139,8
158,boyatzis1998transforming,"Boyatzis, Richard E.",Transforming qualitative information: Thematic analysis and code development,1998,,1,10986,
159,boyd2012critical,"Boyd, Danah; Crawford, Kate","Critical questions for big data: Provocations for a cultural, technological, and scholarly phenomenon",2012,"Information, communication \& society",1,1910,
160,brady2010rethinking,"Brady, Henry E.; Collier, David","Rethinking social inquiry: Diverse tools, shared standards",2010,,2,1561,
161,brandt2005advances,"Brandt, Patrick T.; Freeman, John R.","Advances in Bayesian time series modeling and the study of politics: Theory testing, forecasting, and policy analysis",2005,Political Analysis,1,65,
162,brandt2008dynamics,"Brandt, Patrick T.; Colaresi, Michael; Freeman, John R.","The dynamics of reciprocity, accountability, and credibility",2008,Journal of Conflict Resolution,1,51,
163,braun2006using,"Braun, Virginia; Clarke, Victoria",Using thematic analysis in psychology,2006,Qualitative research in psychology,1,38444,
164,brett2012topic,"Brett, Megan R.",Topic modeling: a basic introduction,2012,Journal of digital humanities,1,34,
165,broockman2016durably,"Broockman, David; Kalla, Joshua",Durably reducing transphobia: A field experiment on door-to-door canvassing,2016,Science,1,92,
166,brugidou2003argumentation,"Brugidou, Mathieu",Argumentation and values: an analysis of ordinary political competence via an open-ended question,2003,International Journal of Public Opinion Research,1,35,
167,bruinsma2017validating,"Bruinsma, Bastiaan; Gemenis, Kostas",Validating Wordscores,2017,arXiv preprint arXiv:1707.04737,1,2,
168,bryman2012social,"Bryman, Alan",Social research methods: OUP Oxford,2012,,1,12,
169,brysk1994politics,"Brysk, Alison",The politics of measurement: The contested count of the disappeared in Argentina,1994,Hum. Rts. Q.,1,92,
170,budzynska2016theoretical,"Budzynska, Katarzyna; Janier, Mathilde; Reed, Chris; Saint-Dizier, Patrick",Theoretical foundations for illocutionary structure parsing 1,2016,Argument \& Computation,1,6,
171,bueno2011new,"Bueno de Mesquita, Bruce",A new model for predicting policy choices: Preliminary tests,2011,Conflict Management and Peace Science,1,51,
172,buhlmann2011statistics,"Buhlmann, Peter; Van De Geer, Sara","Statistics for high-dimensional data: methods, theory and applications",2011,,2,1415,
173,bunea2015quantitative,"Bunea, Adriana; Ibenskas, Raimondas",Quantitative text analysis and the study of EU lobbying and interest groups,2015,European Union Politics,2,15,
174,burnap2013making,"Burnap, Peter; Avis, Nick J.; Rana, Omer F.",Making sense of self-reported socially significant data using computational methods,2013,International Journal of Social Research Methodology,1,19,
175,buse1982likelihood,"Buse, Adolf","The likelihood ratio, Wald, and Lagrange multiplier tests: An expository note",1982,The American Statistician,1,367,
176,cameron2005microeconometrics,"Cameron, A.  Colin; Trivedi, Pravin K.",Microeconometrics: methods and applications,2005,,2,8417,
177,cantu2011fraudulent,"Cantu, Francisco; Saiegh, Sebastian M.",Fraudulent democracy? An analysis of Argentina's Infamous Decade using supervised machine learning,2011,Political Analysis,1,50,
178,carbonell1978politics,"Carbonell Jr, Jaime G.",POLITICS: Automated ideological reasoning,1978,Cognitive Science,1,201,
179,card2000minimum,"Card, David; Krueger, Alan B.",Minimum wages and employment: a case study of the fast-food industry in New Jersey and Pennsylvania: reply,2000,American Economic Review,1,578,
180,carrubba2007defense,"Carrubba, Clifford J.; Yuen, Amy; Zorn, Christopher",In defense of comparative statics: Specifying empirical tests of models of strategic interaction,2007,Political Analysis,1,52,
181,catalinac2014pork,"Catalinac, Amy",Pork to policy: The rise of national security in elections in japan,2014,Submitted. Export BibTex RTF Tagged XML RIS Download catalinac\_porktopolicy,1,9,
182,caughey2015dynamic,"Caughey, Devin; Warshaw, Christopher",Dynamic Estimation of Latent Opinion Using a Hierarchical Group-Level IRT Model,2015,Political Analysis,2,43,
183,caughey2016dynamics,"Caughey, Devin; Warshaw, Christopher","The dynamics of state policy liberalism, 1936--2014",2016,American Journal of Political Science,1,35,
184,centola2010spread,"Centola, Damon",The spread of behavior in an online social network experiment,2010,science,1,1436,
185,centola2011experimental,"Centola, Damon",An experimental study of homophily in the adoption of health behavior,2011,Science,1,331,
186,chang2009reading,"Chang, Jonathan; Gerrish, Sean; Wang, Chong; Boyd-Graber, Jordan L.; Blei, David M.",Reading tea leaves: How humans interpret topic models,2009,,5,1055,7
187,chang2012r,"Chang, Winston",R Graphics Cookbook: Practical Recipes for Visualizing Data,2012,,1,148,
